level_of_theory	sigma_s	v_s	mu_sp2	sigma_sp2	v_sp2		mu_sp3	sigma_sp3	v_sp3
					13C series							
B3LYP/6_31G*	1.581	5.970	­6.157	2.488	6.532			1.302	1.648	6.289
B3LYP/6_31G**	1.852	8.736	­4.616	2.455	6.714			2.047	1.765	7.316
B3LYP/6_31+G**	2.087	10.386	­2.682	2.294	8.049			3.584	1.899	7.184
B3LYP/6_311G*	1.921	7.164	5.918	2.349	5.859			4.733	2.285	15.728
B3LYP/6_311G**	1.837	6.341	6.538	2.241	5.026			5.265	2.212	14.147
B3LYP/6_311+G**	1.833	7.386	7.371	2.252	6.189			5.157	2.294	18.584
B3LYP/6_31G* (PCM)	1.525	6.087	­5.226	1.838	4.625			1.596	1.594	6.065
B3LYP/6_31G** (PCM)	1.784	8.777	­3.696	1.837	4.860			2.336	1.752	7.415
B3LYP/6_31+G** (PCM)	2.034	10.172	­1.417	1.994	6.562			4.044	1.895	7.359
B3LYP/6_311G* (PCM)	1.841	7.315	7.279	2.647	14.742			5.165	2.355	20.697
B3LYP/6_311G** (PCM)	1.738	6.366	7.809	2.409	8.781			5.678	2.271	17.407
B3LYP/6_311+G** (PCM)	1.803	7.943	8.919	3.064	77.024			5.599	2.395	23.235
mPW1PW91/6_31G*	1.267	4.192	­4.787	2.410	7.026			0.745	1.484	5.691
mPW1PW91/6_31G**	1.446	5.325	­3.346	2.304	6.531			1.410	1.516	6.070
mPW1PW91/6_31+G**	1.598	6.113	­2.185	2.105	6.551			2.431	1.605	6.039
mPW1PW91/6_311G*	1.603	4.905	6.084	2.040	4.276			4.284	1.740	6.303
mPW1PW91/6_311G**	1.547	4.484	6.781	2.048	4.122			4.851	1.689	6.178
mPW1PW91/6_311+G**	1.582	5.761	7.515	1.965	4.839			4.748	1.814	8.744
mPW1PW91/6_31G* (PCM)	1.227	4.431	­3.787	1.724	4.484			1.087	1.433	5.558
mPW1PW91/6_31G** (PCM)	1.391	5.576	­2.365	1.675	4.673			1.742	1.508	6.216
mPW1PW91/6_31+G** (PCM)	1.557	6.227	­0.920	1.748	5.364			2.909	1.600	6.269
mPW1PW91/6_311G* (PCM)	1.560	5.798	6.321	2.310	9.605			3.641	1.858	9.397
mPW1PW91/6_311G** (PCM)	1.491	5.226	6.885	2.144	6.663			4.154	1.787	8.592
mPW1PW91/6_311+G** (PCM)	1.575	6.671	7.911	2.702	46.563			4.072	1.935	11.156
					1H series							
B3LYP/6_31G*	0.140	5.942	­0.172	0.194	13.808			­0.056	0.169	6.950
B3LYP/6_31G**	0.128	4.811	0.016	0.177	9.198			­0.072	0.149	4.828
B3LYP/6_31+G**	0.127	4.703	0.139	0.163	6.839			­0.060	0.134	4.047
B3LYP/6_311G*	0.116	3.295	­0.035	0.169	10.935			­0.029	0.149	3.925
B3LYP/6_311G**	0.113	3.197	0.112	0.149	7.274			­0.072	0.130	3.342
B3LYP/6_311+G**	0.119	3.409	0.163	0.145	5.785			­0.051	0.135	3.531
B3LYP/6_31G* (PCM)	0.129	6.408	­0.091	0.172	10.337			­0.013	0.151	7.441
B3LYP/6_31G** (PCM)	0.115	4.897	0.097	0.149	7.268			­0.027	0.130	4.715
B3LYP/6_31+G** (PCM)	0.110	4.273	0.238	0.132	5.347			­0.003	0.119	3.972
B3LYP/6_311G* (PCM)	0.103	3.228	0.063	0.148	8.854			0.019	0.126	3.466
B3LYP/6_311G** (PCM)	0.095	2.850	0.206	0.124	5.987			­0.022	0.105	2.756
B3LYP/6_311+G** (PCM)	0.099	2.929	0.267	0.119	5.196			0.008	0.115	3.033
mPW1PW91/6_31G*	0.128	5.030	­0.044	0.185	13.042			­0.065	0.156	6.129
mPW1PW91/6_31G**	0.120	4.303	0.140	0.167	8.595			­0.085	0.136	4.223
mPW1PW91/6_31+G**	0.122	4.318	0.239	0.149	5.840			­0.075	0.127	3.684
mPW1PW91/6_311G*	0.113	3.160	0.305	0.168	10.205			0.239	0.148	3.878
mPW1PW91/6_311G**	0.110	3.061	0.478	0.142	6.250			0.193	0.123	3.124
mPW1PW91/6_311+G**	0.117	3.394	0.516	0.138	5.394			0.209	0.131	3.388
mPW1PW91/6_31G* (PCM)	0.117	5.543	0.047	0.162	10.576			­0.021	0.136	6.259
mPW1PW91/6_31G** (PCM)	0.105	4.323	0.233	0.136	6.954			­0.038	0.116	4.026
mPW1PW91/6_31+G** (PCM)	0.104	3.893	0.347	0.118	4.911			­0.018	0.112	3.651
mPW1PW91/6_311G* (PCM)	0.101	3.157	0.133	0.147	8.764			0.009	0.125	3.536
mPW1PW91/6_311G** (PCM)	0.093	2.784	0.297	0.117	5.315			­0.039	0.098	2.599
mPW1PW91/6_311+G** (PCM)	0.098	2.891	0.344	0.112	4.880			­0.014	0.111	2.891
